"Time","Mean_temp","Max_temp","Min_temp","Temp_variance","Temp_stddev","Humidity","Temperature","PM 1","PM 2.5","PM 10","FCBDB62F1727_count","FCBDB62F1727_mean_dBm","F2416138F240_count","F2416138F240_mean_dBm"
"1557223368","28.44","34.15","23.70","7.48","2.74","37.35","35.20","4","3","4","8","-78.6","20","-65.2"
"1557223423","26.78","34.35","23.44","3.33","1.83","36.74","34.97","3","2","5","0","0.0","24","-78.4"
"1557223478","26.23","29.73","23.49","1.81","1.35","36.11","32.74","3","2","3","0","0.0","31","-74.6"
"1557223532","26.20","29.51","23.54","1.77","1.33","35.75","32.47","2","1","2","0","0.0","0","0.0"
"1557223587","26.23","29.71","23.56","1.77","1.33","36.28","32.22","5","3","9","0","0.0","5","-70.4"
"1557223642","26.22","29.85","23.43","1.75","1.32","36.78","32.67","3","2","5","0","0.0","39","-83.4"
"1557223697","26.38","30.92","23.53","2.09","1.44","36.11","32.49","3","2","83","0","0.0","27","-80.0"
"1557223751","26.27","29.65","23.62","1.71","1.31","36.03","32.33","4","3","4","0","0.0","39","-79.5"
"1557223806","31.36","36.40","24.85","8.67","2.94","37.24","32.83","4","3","5","31","-65.0","26","-76.1"
"1557223861","26.69","31.03","23.74","1.96","1.40","36.68","32.72","4","2","4","22","-78.2","33","-79.5"
"1557223916","26.54","29.90","23.69","1.76","1.33","37.11","32.64","3","2","5","0","0.0","26","-71.8"
"1557223971","26.42","29.98","23.73","1.71","1.31","37.74","32.58","4","3","4","23","-77.7","40","-79.1"
"1557224026","29.34","34.94","23.73","7.52","2.74","37.91","32.50","4","3","13","7","-67.6","28","-69.0"
"1557224080","26.45","29.85","23.64","1.73","1.31","37.29","32.44","4","3","8","0","0.0","22","-69.7"
"1557224136","26.19","29.45","23.39","1.71","1.31","36.17","32.39","4","3","4","0","0.0","0","0.0"
"1557224190","26.29","29.48","23.46","1.70","1.30","36.53","32.29","4","3","4","0","0.0","38","-70.6"
"1557224245","26.20","29.53","23.58","1.68","1.30","36.09","32.22","3","2","3","0","0.0","0","0.0"
"1557224299","26.17","29.26","23.42","1.67","1.29","36.35","32.79","2","1","3","0","0.0","32","-69.6"
"1557224354","26.33","29.62","23.48","1.63","1.28","36.56","32.71","2","1","2","0","0.0","40","-70.8"
"1557224409","26.30","29.46","23.51","1.71","1.31","37.02","32.67","3","2","3","0","0.0","28","-72.9"
"1557224464","26.36","29.72","23.87","1.71","1.31","36.70","32.63","2","1","2","0","0.0","40","-75.9"
"1557224519","26.40","32.00","23.60","1.93","1.39","37.19","32.57","2","1","2","0","0.0","36","-68.1"
"1557224573","26.33","29.56","23.60","1.67","1.29","37.43","32.53","2","1","4","0","0.0","11","-68.3"
"1557224628","26.52","31.62","23.84","1.89","1.37","36.97","32.50","1","0","1","0","0.0","38","-76.1"
"1557224683","26.38","29.45","23.90","1.64","1.28","37.57","32.46","1","0","1","0","0.0","33","-69.6"
"1557224738","26.20","29.48","23.06","1.66","1.29","37.08","32.43","2","1","2","0","0.0","26","-72.9"
"1557224792","26.40","29.78","23.85","1.63","1.27","37.23","32.40","2","1","2","4","-91.2","36","-67.8"
"1557224847","26.45","29.63","23.93","1.64","1.28","37.18","32.39","5","3","5","5","-90.6","35","-77.2"
"1557224902","26.47","29.78","23.82","1.74","1.32","37.16","32.38","6","4","6","25","-81.4","30","-74.7"
"1557224957","26.61","29.99","23.86","1.63","1.28","37.63","32.38","9","6","10","1","-91.0","23","-74.4"
"1557225012","26.69","30.25","23.84","1.71","1.31","37.59","32.39","12","9","13","0","0.0","23","-71.3"
"1557225066","26.60","29.69","23.74","1.70","1.30","37.26","32.39","12","8","13","1","-90.0","29","-74.3"
"1557225121","26.69","29.96","23.81","1.70","1.30","37.23","32.40","12","9","19","0","0.0","39","-74.9"
"1557225176","26.66","29.88","24.01","1.69","1.30","36.97","32.43","9","7","10","0","0.0","14","-71.0"
"1557225231","26.73","30.04","24.02","1.75","1.32","36.97","32.43","7","5","7","0","0.0","39","-74.4"
"1557225286","26.69","30.12","23.97","1.73","1.31","36.97","32.46","7","5","7","0","0.0","5","-70.6"
"1557225340","26.59","29.79","23.64","1.77","1.33","36.90","32.47","8","5","17","0","0.0","40","-73.0"
"1557225395","26.65","29.89","23.94","1.72","1.31","36.90","32.49","6","4","6","0","0.0","21","-78.1"
