"Time","Mean_temp","Max_temp","Min_temp","Temp_variance","Temp_stddev","Humidity","Temperature","PM 1","PM 2.5","PM 10","FCBDB62F1727_count","FCBDB62F1727_mean_dBm","F2416138F240_count","F2416138F240_mean_dBm"
"1556360723","33.14","40.68","24.92","19.35","4.40","32.11","37.40","1000","1000","1000","0","0.0","0","0.0"
"1556360773","33.07","187.82","24.72","272.98","16.52","32.48","37.76","1000","1000","1000","0","0.0","0","0.0"
"1556360823","33.06","190.51","24.94","275.82","16.61","32.28","37.41","1000","1000","1000","1","-92.0","0","0.0"
"1556360873","32.48","188.74","24.33","268.03","16.37","32.81","35.22","1000","1000","1000","0","0.0","0","0.0"
"1556360923","33.37","188.19","24.55","274.66","16.57","32.85","35.00","1000","1000","1000","0","0.0","0","0.0"
"1556360973","33.13","186.95","24.77","266.58","16.33","33.34","34.82","1000","1000","1000","0","0.0","0","0.0"
"1556361023","32.05","186.48","24.10","258.92","16.09","31.72","35.33","1000","1000","1000","0","0.0","0","0.0"
"1556361073","32.52","185.26","24.49","253.98","15.94","31.66","35.19","1000","1000","1000","0","0.0","0","0.0"
"1556361123","32.29","181.57","24.43","248.74","15.77","32.24","35.05","1000","1000","1000","0","0.0","0","0.0"
"1556361173","33.39","183.72","24.05","196.72","14.03","30.26","34.93","1000","1000","1000","0","0.0","7","-80.9"
"1556361223","31.87","183.49","23.95","248.94","15.78","30.52","34.78","1000","1000","1000","0","0.0","0","0.0"
"1556361273","31.40","181.35","23.64","244.76","15.64","30.09","35.24","1000","1000","1000","0","0.0","0","0.0"
"1556361323","49.47","495.42","27.20","3226.28","56.80","30.26","35.08","1000","1000","1000","1","-80.0","0","0.0"
"1556361373","38.81","348.14","24.86","883.47","29.72","30.30","34.90","1000","1000","1000","1","-80.0","0","0.0"
"1556361423","41.75","417.71","26.45","1444.24","38.00","32.05","35.36","1000","1000","1000","0","0.0","0","0.0"
"1556361473","44.77","414.49","27.16","1798.17","42.40","31.31","35.22","1000","1000","1000","0","0.0","0","0.0"
"1556361523","42.23","410.62","25.96","1649.88","40.62","31.31","35.15","1000","1000","1000","0","0.0","0","0.0"
"1556361573","41.62","409.22","25.76","1574.35","39.68","29.89","35.09","1000","1000","1000","0","0.0","0","0.0"
"1556361622","41.87","390.61","26.38","1447.35","38.04","31.74","35.06","1000","1000","1000","0","0.0","0","0.0"
"1556361672","41.07","382.52","26.13","1365.85","36.96","31.90","35.06","1000","1000","1000","0","0.0","0","0.0"
"1556361722","40.32","380.45","25.51","1353.61","36.79","31.04","35.09","1000","1000","1000","0","0.0","0","0.0"
"1556361772","39.93","366.60","25.65","1270.92","35.65","31.14","35.12","1000","1000","1000","0","0.0","0","0.0"
"1556361822","39.56","372.62","25.14","1311.73","36.22","31.02","35.12","1000","1000","1000","0","0.0","0","0.0"
"1556361872","38.40","292.79","24.81","1016.38","31.88","29.99","35.06","1000","1000","1000","0","0.0","0","0.0"
"1556361922","38.28","295.36","24.96","959.28","30.97","29.99","35.01","1000","1000","1000","0","0.0","0","0.0"
"1556361972","38.59","294.60","25.26","926.67","30.44","30.94","34.95","1000","1000","1000","0","0.0","0","0.0"
"1556362022","39.62","292.33","25.67","874.35","29.57","31.08","34.93","1000","1000","1000","0","0.0","0","0.0"
"1556362072","39.21","299.43","25.93","969.44","31.14","31.61","34.94","1000","1000","1000","0","0.0","0","0.0"
"1556362122","38.74","332.99","25.21","1025.14","32.02","30.47","34.94","1000","1000","1000","4","-82.8","0","0.0"
"1556362172","37.27","322.33","23.78","916.23","30.27","30.09","34.94","1000","1000","1000","0","0.0","0","0.0"
"1556362222","37.36","313.66","24.24","910.05","30.17","30.01","34.91","1000","1000","1000","0","0.0","0","0.0"
"1556362272","37.36","309.02","24.58","908.98","30.15","29.50","34.84","1000","1000","1000","3","-84.0","0","0.0"
"1556362322","38.21","316.54","25.02","943.88","30.72","30.78","32.82","1000","1000","1000","5","-84.2","0","0.0"
"1556362372","39.67","316.80","25.88","916.17","30.27","32.59","32.76","1000","1000","1000","3","-77.7","0","0.0"
"1556362421","38.51","337.03","25.31","960.93","31.00","33.67","32.76","1000","1000","1000","1","-70.0","0","0.0"
"1556362471","40.91","352.44","25.65","1284.36","35.84","31.21","32.82","1000","1000","1000","0","0.0","0","0.0"
"1556362521","39.78","313.26","26.34","938.75","30.64","31.91","32.82","1000","1000","1000","0","0.0","0","0.0"
"1556362571","40.71","317.25","26.94","1002.16","31.66","34.15","34.79","1000","1000","1000","0","0.0","0","0.0"
"1556362621","39.49","317.43","25.94","526.43","22.94","34.05","34.87","1000","1000","1000","0","0.0","0","0.0"
"1556362671","41.06","320.13","26.54","994.13","31.53","32.96","34.99","1000","1000","1000","5","-73.8","0","0.0"
"1556362721","41.21","321.81","26.17","1014.87","31.86","33.56","35.11","1000","1000","1000","5","-77.4","0","0.0"
"1556362771","53.18","531.86","30.81","3929.44","62.69","33.92","35.20","1000","1000","1000","3","-78.3","0","0.0"
"1556362821","51.59","535.02","30.09","3759.54","61.32","31.85","35.33","1000","1000","1000","0","0.0","0","0.0"
"1556362871","51.21","514.85","29.86","3583.58","59.86","31.61","34.83","1000","1000","1000","0","0.0","0","0.0"
"1556362921","50.45","499.62","29.71","3451.83","58.75","30.85","34.98","1000","1000","1000","0","0.0","0","0.0"
"1556362971","49.88","491.57","29.29","3341.65","57.81","31.85","35.15","1000","1000","1000","0","0.0","0","0.0"
"1556363021","49.10","488.46","28.40","3276.91","57.24","31.82","35.33","1000","1000","1000","0","0.0","0","0.0"
"1556363071","48.48","477.86","28.58","3188.11","56.46","30.59","34.86","1000","1000","1000","0","0.0","0","0.0"
"1556363121","47.75","470.99","28.10","3076.11","55.46","30.73","34.97","1000","962","1000","0","0.0","0","0.0"
"1556363171","47.18","469.94","27.54","3057.13","55.29","27.16","35.08","1000","1000","1000","0","0.0","0","0.0"
"1556363221","48.07","465.55","28.85","2951.14","54.32","28.59","35.12","777","557","881","0","0.0","0","0.0"
"1556363271","47.50","461.15","28.13","2901.25","53.86","28.97","35.14","686","560","777","0","0.0","0","0.0"
"1556363321","47.42","453.78","27.68","2835.77","53.25","29.75","35.15","763","547","920","0","0.0","0","0.0"
"1556363371","47.37","456.23","28.02","2806.99","52.98","29.83","35.18","1000","1000","1000","0","0.0","0","0.0"
"1556363421","46.71","456.77","28.02","2797.08","52.89","29.12","35.23","761","601","862","0","0.0","0","0.0"
"1556363471","46.00","451.85","26.88","2769.10","52.62","28.64","35.23","1000","792","1000","0","0.0","0","0.0"
"1556363521","46.04","447.27","27.25","2731.45","52.26","28.08","35.21","1000","962","1000","0","0.0","0","0.0"
"1556363571","45.60","444.26","27.17","2665.92","51.63","28.37","35.16","1000","1000","1000","0","0.0","0","0.0"
"1556363621","45.61","438.08","26.75","2629.64","51.28","28.30","35.08","1000","1000","1000","0","0.0","0","0.0"
"1556363671","45.70","436.72","27.15","2577.38","50.77","28.42","35.00","1000","1000","1000","0","0.0","0","0.0"
"1556363721","45.29","439.39","27.02","2547.38","50.47","28.35","34.93","848","675","961","0","0.0","0","0.0"
"1556363771","45.03","433.84","26.75","2538.98","50.39","28.42","34.85","828","593","1000","0","0.0","0","0.0"
"1556363821","44.80","434.45","26.86","2513.06","50.13","28.82","35.38","1000","1000","1000","0","0.0","0","0.0"
"1556363871","44.66","429.45","26.06","2482.89","49.83","27.67","35.27","1000","860","1000","0","0.0","0","0.0"
"1556363921","44.53","427.99","26.42","2453.95","49.54","28.15","35.15","1000","754","1000","0","0.0","0","0.0"
"1556363971","44.30","426.66","26.37","2424.31","49.24","27.95","35.05","1000","1000","1000","0","0.0","0","0.0"
"1556364021","43.98","427.68","26.20","2418.26","49.18","27.63","34.92","913","679","1000","0","0.0","0","0.0"
"1556364070","43.65","422.98","26.11","2381.06","48.80","27.45","34.80","912","682","1000","0","0.0","0","0.0"
"1556364120","43.84","419.66","26.17","2362.63","48.61","27.98","35.33","876","669","1000","0","0.0","0","0.0"
"1556364170","43.73","417.71","26.24","2327.05","48.24","27.97","35.20","749","611","871","0","0.0","0","0.0"
"1556364220","44.73","414.97","26.90","2287.07","47.82","29.09","35.11","791","567","1000","0","0.0","0","0.0"
"1556364270","44.70","411.61","27.13","2245.39","47.39","29.85","35.04","847","630","1000","0","0.0","0","0.0"
"1556364320","44.85","411.00","26.97","2217.71","47.09","30.63","35.02","657","501","766","0","0.0","0","0.0"
"1556364370","45.02","407.75","27.51","2201.32","46.92","29.87","35.05","368","289","471","0","0.0","0","0.0"
"1556364420","44.64","402.85","27.67","2163.78","46.52","29.31","35.11","469","358","560","0","0.0","0","0.0"
"1556364470","44.07","401.59","27.38","2145.83","46.32","29.23","35.16","203","165","230","0","0.0","0","0.0"
"1556364520","44.12","400.67","27.08","2146.84","46.33","29.59","35.23","147","120","166","0","0.0","0","0.0"
"1556364570","44.61","398.87","27.74","2111.45","45.95","30.14","35.29","176","138","219","0","0.0","0","0.0"
"1556364620","44.55","393.54","27.77","2085.70","45.67","29.61","35.38","173","141","196","0","0.0","0","0.0"
"1556364670","44.48","391.73","27.79","2063.54","45.43","29.29","34.80","98","76","117","0","0.0","0","0.0"
"1556364720","44.23","391.79","27.95","2051.27","45.29","29.18","34.91","90","73","109","0","0.0","0","0.0"
"1556364770","44.13","389.66","27.59","2033.10","45.09","28.87","34.98","90","72","102","0","0.0","0","0.0"
"1556364820","43.90","387.24","27.15","2019.60","44.94","29.40","35.05","65","53","73","0","0.0","0","0.0"
"1556364870","44.08","385.14","27.65","1989.95","44.61","29.21","35.11","27","22","30","0","0.0","0","0.0"
"1556364920","43.45","382.10","26.94","1970.88","44.39","29.56","35.15","32","26","36","0","0.0","0","0.0"
"1556364970","43.53","379.65","27.29","1993.51","44.65","29.05","35.16","52","41","58","0","0.0","0","0.0"
"1556365020","43.04","377.56","26.99","1971.19","44.40","29.27","35.15","140","114","158","0","0.0","0","0.0"
"1556365070","43.26","375.92","27.28","1954.84","44.21","28.93","35.12","51","38","57","0","0.0","0","0.0"
"1556365120","42.86","373.18","26.72","1932.05","43.96","28.59","35.08","30","23","34","0","0.0","0","0.0"
"1556365170","42.38","372.51","26.16","1919.57","43.81","28.84","35.01","28","20","31","0","0.0","0","0.0"
"1556365220","42.43","371.71","26.49","1894.99","43.53","28.84","34.92","20","16","22","0","0.0","0","0.0"
"1556365270","42.36","367.91","26.73","1871.14","43.26","28.73","34.80","12","9","13","0","0.0","0","0.0"
"1556365319","42.44","365.77","26.91","1828.89","42.77","29.21","35.37","11","8","12","0","0.0","0","0.0"
"1556365369","42.63","365.66","27.04","1819.62","42.66","29.17","35.30","10","8","11","0","0.0","0","0.0"
"1556365419","42.60","360.48","27.02","1784.00","42.24","30.12","35.26","9","7","10","2","-84.5","0","0.0"
"1556365469","42.95","358.77","27.51","1754.27","41.88","31.33","35.25","10","8","11","0","0.0","0","0.0"
"1556365519","42.70","358.22","27.04","1752.64","41.86","30.90","35.25","8","6","9","0","0.0","0","0.0"
"1556365569","42.74","357.54","26.49","1746.04","41.79","30.97","35.27","7","5","7","0","0.0","0","0.0"
"1556365619","48.61","365.69","28.65","2238.94","47.32","30.60","35.30","158","113","354","0","0.0","0","0.0"
"1556365669","47.32","368.38","28.74","2082.93","45.64","31.08","35.36","1000","1000","1000","0","0.0","0","0.0"
"1556365719","39.32","336.57","25.51","883.80","29.73","30.79","35.41","1000","1000","1000","0","0.0","0","0.0"
"1556365769","37.78","324.41","25.17","765.02","27.66","30.89","34.84","1000","1000","1000","0","0.0","0","0.0"
"1556365819","37.89","333.27","25.56","779.02","27.91","30.97","34.87","1000","1000","1000","0","0.0","0","0.0"
"1556365869","38.72","335.37","25.92","802.66","28.33","32.88","34.87","1000","1000","1000","2","-78.5","0","0.0"
"1556365919","40.41","335.78","25.41","819.23","28.62","32.81","34.90","1000","1000","1000","0","0.0","0","0.0"
"1556365969","46.57","361.85","27.50","1282.24","35.81","34.71","34.91","1000","1000","1000","0","0.0","0","0.0"
"1556366019","47.41","353.90","28.54","1263.15","35.54","35.31","35.05","1000","1000","1000","0","0.0","0","0.0"
"1556366069","41.16","349.04","26.43","921.81","30.36","34.10","35.26","1000","1000","1000","0","0.0","0","0.0"
"1556366119","39.82","344.77","25.19","839.47","28.97","32.96","34.79","1000","1000","1000","0","0.0","0","0.0"
"1556366169","39.74","347.38","25.39","824.90","28.72","32.86","34.87","1000","1000","1000","0","0.0","0","0.0"
"1556366219","39.08","343.78","25.02","837.39","28.94","33.15","34.90","1000","1000","1000","0","0.0","0","0.0"
